pair_idx,pair_indicator,malicious_filename,n_indicator_tokens,base_logit_diff,ablated_logit_diff,logit_diff_delta,resid_l2_sensitivity,resid_cosine_similarity
301,IEX,fa2y/malicious_samples/21851303a344f1c0df701b10a6885a6a7bd2cea8554e00fcd9a9cc1bbf882d07.ps1,2,0.6875,-0.328125,-1.015625,0.779296875,0.9951171875
302,IEX,fa2y/malicious_samples/70cf71b129e8f5a9c0805007aac64703bda49d6cc5613eb547db19b4621059fb.ps1,4,8.3984375,8.2421875,-0.15625,0.81591796875,0.9951171875
304,IEX,fa2y/malicious_samples/672d0bab4725b21039b9c2ab4147ff50fafc1622061da6ab191c31d5c88aebf9.ps1,2,4.78125,1.09375,-3.6875,2.376953125,0.95068359375
306,IEX,fa2y/malicious_samples/ba5b42e50b3b40e610f8d194b00f29016a1fd3933a3558eecc71b170fb8ffae3-obf-out-encodedbinarycommand.ps1,2,0.11297607421875,0.11297607421875,0.0,0.0,0.99951171875
307,Invoke-Expression,fa2y/malicious_samples/bb7ed7fc743fca6580548f10fd120bcfc876241147dbab7ad93ce5d70677d6d1-obf-out-encodedhexcommand.ps1,9,3.53125,4.3125,0.78125,1.197265625,0.98828125
309,Invoke-Expression,fa2y/malicious_samples/7cfd8d4f70696d1369eb1a3707a740186099c1bbb000739989c2d73f16a97c5d-obf-out-compressedcommand.ps1,18,2.71875,2.453125,-0.265625,4.0,0.87109375
310,Invoke-Expression,fa2y/malicious_samples/fc9da60ea75819923b8a947dfe2ac25422bc534ae45b680bb8b177cb2e90415d.ps1,3,2.625,4.796875,2.171875,1.3330078125,0.986328125
311,Invoke-Expression,2019.ps1,7,0.125,0.578125,0.453125,1.03125,0.9912109375
312,Invoke-Expression,fa2y/malicious_samples/6fdb0e55700963ba4bd389e29b30c566bda1bc3534053636ab48e76838337c42-obf-out-compressedcommand.ps1,17,1.0,0.40625,-0.59375,4.13671875,0.8583984375
313,Invoke-Expression,fa2y/malicious_samples/882a95aefca2a66599c6268f9e10fae7e981fdcea3adda7ea2e4dce403cb22d8-obf-out-encodedoctalcommand.ps1,10,4.765625,0.875,-3.890625,4.421875,0.83349609375
315,Invoke-Expression,2789.ps1,7,1.359375,0.90625,-0.453125,1.2734375,0.98681640625
316,Invoke-Expression,fa2y/malicious_samples/809c76fa535ae6532ce29d85d8ca042036f4d0c3f4a536efecdf78e5b85e9c5b.ps1,7,0.265625,-0.5,-0.765625,1.302734375,0.98583984375
317,Invoke-Expression,fa2y/malicious_samples/a016a05d13922dee685aa0f95e56db95a4842495a58315e180ff53446a07ab5b.ps1,7,2.46875,2.265625,-0.203125,0.99853515625,0.99169921875
318,Invoke-Expression,fa2y/malicious_samples/6c2ed7cdc414f6d2e1f6e990862dfa7ddbd3552449d0f88c8003115e608ea329-obf-out-obfuscatedstringcommand.ps1,10,0.890625,0.734375,-0.15625,4.08984375,0.84912109375
319,Invoke-Expression,fa2y/malicious_samples/6a5143a5232da7029d514d5770aa7d4be5c222e810049d20a8ee30657f38cb69.ps1,3,0.640625,1.46875,0.828125,0.9140625,0.99365234375
322,Invoke-Expression,fa2y/malicious_samples/542bce4aff052501d5c6cc44b6075f8b908d428f4b1ce3baae88aaabdd1621f0.ps1,3,8.046875,9.1171875,1.0703125,0.9677734375,0.99267578125
323,Invoke-Expression,fa2y/bazaar_out/fb229c4d9cd3913b2673941328b6183e8644dd8bc7736cd4a7a63bf4ccb6d540.ps1,10,-2.140625,-2.20703125,-0.06640625,0.94921875,0.99169921875
