pair_idx,layer,neuron,contribution_delta,malicious_contribution,benign_contribution
61,3,12102,-0.000833059661090374,0.0005983514711260796,0.0014314111322164536
61,3,2890,-0.0008171336958184838,-0.0009130197577178478,-9.5886061899364e-05
61,3,4762,-0.0008081342093646526,-0.00017011119052767754,0.0006380230188369751
61,3,623,-0.0007694005034863949,0.0009235809557139874,0.0016929814592003822
61,3,8460,-0.0007578640943393111,-0.00017018651124089956,0.0005876775830984116
61,3,7146,-0.0007539624348282814,-0.0012718699872493744,-0.000517907552421093
61,3,10410,-0.0007513421587646008,-0.0017096931114792824,-0.0009583509527146816
61,3,9490,-0.0007238192483782768,-0.0018421411514282227,-0.0011183219030499458
61,3,2189,-0.0007186748553067446,-0.0011280574835836887,-0.00040938262827694416
61,4,10307,0.00216418644413352,0.0016289781779050827,-0.0005352082662284374
61,4,11874,0.001914449967443943,-0.0019265571609139442,-0.0038410071283578873
61,4,8381,0.001879669725894928,-0.01559179276227951,-0.01747146248817444
61,4,6825,0.0016587472055107355,0.0018448568880558014,0.00018610968254506588
61,4,6256,0.0013546012341976166,0.00208415649831295,0.0007295552641153336
61,4,155,0.0012567657977342606,-0.001174958422780037,-0.0024317242205142975
61,4,7818,0.0012497315183281898,-0.0010828664526343346,-0.0023325979709625244
61,4,2387,0.0011897874064743519,0.0012822411954402924,9.245378896594048e-05
61,4,2127,0.0010892925783991814,0.001955213025212288,0.0008659204468131065
61,4,6747,0.0010848153615370393,0.0010647214949131012,-2.0093866623938084e-05
61,4,1731,0.0010790906380861998,0.0014540739357471466,0.00037498329766094685
61,4,10399,0.0010631023906171322,0.0008903024718165398,-0.00017279991880059242
61,4,8849,0.0010298124980181456,0.0008070943877100945,-0.0002227181103080511
61,4,3045,0.001003037323243916,0.0014134780503809452,0.00041044072713702917
61,4,1412,0.0009804032742977142,0.0007346272468566895,-0.0002457760274410248
61,4,13888,0.0009732269681990147,0.00043619214557111263,-0.000537034822627902
61,4,6031,0.0009282546816393733,0.0007004914805293083,-0.00022776320111006498
61,4,2621,0.0009121445473283529,-0.0003681282978504896,-0.0012802728451788425
61,4,10563,0.00089230015873909,0.0017948448657989502,0.0009025447070598602
61,4,6513,0.0008691917173564434,0.0005608713254332542,-0.00030832039192318916
61,4,2421,-0.0017082709819078445,0.0012963823974132538,0.0030046533793210983
61,4,1951,-0.0015751440078020096,-0.0006563100032508373,0.0009188340045511723
61,4,3197,-0.0013656215742230415,0.0003082631155848503,0.0016738846898078918
