layer,head,base_logit_diff,ablated_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,base_benign_logit_diff,flip_to_benign
12,5,10.5703125,9.859375,-0.7109375,-6.72579453067258,91,Invoke-WebRequest,773.ps1,3834.ps1,-3.734375,False
0,11,10.5703125,10.265625,-0.3046875,-2.882483370288248,91,Invoke-WebRequest,773.ps1,3834.ps1,-3.734375,False
12,15,10.5703125,10.3125,-0.2578125,-2.4390243902439024,91,Invoke-WebRequest,773.ps1,3834.ps1,-3.734375,False
12,4,10.5703125,9.6875,-0.8828125,-8.35181079083518,92,Invoke-WebRequest,2820.ps1,3834.ps1,-2.578125,False
12,5,10.5703125,9.859375,-0.7109375,-6.72579453067258,92,Invoke-WebRequest,2820.ps1,3834.ps1,-2.578125,False
0,11,10.5703125,10.265625,-0.3046875,-2.882483370288248,92,Invoke-WebRequest,2820.ps1,3834.ps1,-2.578125,False
12,15,10.5703125,10.3125,-0.2578125,-2.4390243902439024,92,Invoke-WebRequest,2820.ps1,3834.ps1,-2.578125,False
12,15,0.15625,-0.078125,-0.234375,-150.0,93,Invoke-WebRequest,773.ps1,1362.ps1,-3.734375,True
12,5,0.15625,0.046875,-0.109375,-70.0,93,Invoke-WebRequest,773.ps1,1362.ps1,-3.734375,False
12,4,0.15625,0.171875,0.015625,10.0,93,Invoke-WebRequest,773.ps1,1362.ps1,-3.734375,False
0,11,0.15625,0.328125,0.171875,110.00000000000001,93,Invoke-WebRequest,773.ps1,1362.ps1,-3.734375,False
12,15,0.15625,-0.078125,-0.234375,-150.0,94,Invoke-WebRequest,2820.ps1,1362.ps1,-2.578125,True
12,5,0.15625,0.046875,-0.109375,-70.0,94,Invoke-WebRequest,2820.ps1,1362.ps1,-2.578125,False
12,4,0.15625,0.171875,0.015625,10.0,94,Invoke-WebRequest,2820.ps1,1362.ps1,-2.578125,False
0,11,0.15625,0.328125,0.171875,110.00000000000001,94,Invoke-WebRequest,2820.ps1,1362.ps1,-2.578125,False
12,4,10.5703125,9.6875,-0.8828125,-8.35181079083518,95,Invoke-WebRequest,2969.ps1,3834.ps1,-1.140625,False
12,5,10.5703125,9.859375,-0.7109375,-6.72579453067258,95,Invoke-WebRequest,2969.ps1,3834.ps1,-1.140625,False
0,11,10.5703125,10.265625,-0.3046875,-2.882483370288248,95,Invoke-WebRequest,2969.ps1,3834.ps1,-1.140625,False
12,15,10.5703125,10.3125,-0.2578125,-2.4390243902439024,95,Invoke-WebRequest,2969.ps1,3834.ps1,-1.140625,False
12,4,10.5703125,9.6875,-0.8828125,-8.35181079083518,96,Invoke-WebRequest,712.ps1,3834.ps1,-2.1875,False
12,5,10.5703125,9.859375,-0.7109375,-6.72579453067258,96,Invoke-WebRequest,712.ps1,3834.ps1,-2.1875,False
0,11,10.5703125,10.265625,-0.3046875,-2.882483370288248,96,Invoke-WebRequest,712.ps1,3834.ps1,-2.1875,False
12,15,10.5703125,10.3125,-0.2578125,-2.4390243902439024,96,Invoke-WebRequest,712.ps1,3834.ps1,-2.1875,False
12,4,10.5703125,9.6875,-0.8828125,-8.35181079083518,97,Invoke-WebRequest,2165.ps1,3834.ps1,-1.640625,False
12,5,10.5703125,9.859375,-0.7109375,-6.72579453067258,97,Invoke-WebRequest,2165.ps1,3834.ps1,-1.640625,False
0,11,10.5703125,10.265625,-0.3046875,-2.882483370288248,97,Invoke-WebRequest,2165.ps1,3834.ps1,-1.640625,False
12,15,10.5703125,10.3125,-0.2578125,-2.4390243902439024,97,Invoke-WebRequest,2165.ps1,3834.ps1,-1.640625,False
12,15,0.15625,-0.078125,-0.234375,-150.0,98,Invoke-WebRequest,2969.ps1,1362.ps1,-1.140625,True
12,5,0.15625,0.046875,-0.109375,-70.0,98,Invoke-WebRequest,2969.ps1,1362.ps1,-1.140625,False
12,4,0.15625,0.171875,0.015625,10.0,98,Invoke-WebRequest,2969.ps1,1362.ps1,-1.140625,False
0,11,0.15625,0.328125,0.171875,110.00000000000001,98,Invoke-WebRequest,2969.ps1,1362.ps1,-1.140625,False
12,15,0.15625,-0.078125,-0.234375,-150.0,99,Invoke-WebRequest,712.ps1,1362.ps1,-2.1875,True
12,5,0.15625,0.046875,-0.109375,-70.0,99,Invoke-WebRequest,712.ps1,1362.ps1,-2.1875,False
12,4,0.15625,0.171875,0.015625,10.0,99,Invoke-WebRequest,712.ps1,1362.ps1,-2.1875,False
0,11,0.15625,0.328125,0.171875,110.00000000000001,99,Invoke-WebRequest,712.ps1,1362.ps1,-2.1875,False
12,15,0.15625,-0.078125,-0.234375,-150.0,100,Invoke-WebRequest,2165.ps1,1362.ps1,-1.640625,True
12,5,0.15625,0.046875,-0.109375,-70.0,100,Invoke-WebRequest,2165.ps1,1362.ps1,-1.640625,False
12,4,0.15625,0.171875,0.015625,10.0,100,Invoke-WebRequest,2165.ps1,1362.ps1,-1.640625,False
0,11,0.15625,0.328125,0.171875,110.00000000000001,100,Invoke-WebRequest,2165.ps1,1362.ps1,-1.640625,False
