layer,head,base_logit_diff,patched_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,base_benign_logit_diff,flip_to_benign
12,4,6.640625,3.546875,-3.09375,-46.588235294117645,22,DownloadFile,2670.ps1,1269.ps1,-1.4375,False
12,15,6.640625,5.90625,-0.734375,-11.058823529411764,22,DownloadFile,2670.ps1,1269.ps1,-1.4375,False
12,5,6.640625,6.203125,-0.4375,-6.588235294117648,22,DownloadFile,2670.ps1,1269.ps1,-1.4375,False
0,11,6.640625,6.703125,0.0625,0.9411764705882352,22,DownloadFile,2670.ps1,1269.ps1,-1.4375,False
12,4,1.265625,-0.578125,-1.84375,-145.679012345679,23,DownloadString,1113.ps1,3084.ps1,-3.375,True
0,11,1.265625,0.703125,-0.5625,-44.44444444444444,23,DownloadString,1113.ps1,3084.ps1,-3.375,False
12,5,1.265625,0.96875,-0.296875,-23.456790123456788,23,DownloadString,1113.ps1,3084.ps1,-3.375,False
12,15,1.265625,1.46875,0.203125,16.049382716049383,23,DownloadString,1113.ps1,3084.ps1,-3.375,False
12,4,4.015625,1.265625,-2.75,-68.48249027237354,24,DownloadString,1113.ps1,3278.ps1,-3.375,False
12,5,4.015625,3.515625,-0.5,-12.45136186770428,24,DownloadString,1113.ps1,3278.ps1,-3.375,False
12,15,4.015625,3.65625,-0.359375,-8.949416342412452,24,DownloadString,1113.ps1,3278.ps1,-3.375,False
0,11,4.015625,3.96875,-0.046875,-1.1673151750972763,24,DownloadString,1113.ps1,3278.ps1,-3.375,False
12,4,2.328125,-0.15625,-2.484375,-106.71140939597315,25,DownloadString,1113.ps1,2190.ps1,-3.375,True
12,15,2.328125,1.96875,-0.359375,-15.436241610738255,25,DownloadString,1113.ps1,2190.ps1,-3.375,False
12,5,2.328125,2.296875,-0.03125,-1.342281879194631,25,DownloadString,1113.ps1,2190.ps1,-3.375,False
0,11,2.328125,2.359375,0.03125,1.342281879194631,25,DownloadString,1113.ps1,2190.ps1,-3.375,False
