pair_idx,layer,neuron,contribution_delta,malicious_contribution,benign_contribution
61,3,5740,0.0006979441968724132,0.0009697405621409416,0.00027179636526852846
61,3,10777,0.0006719464436173439,0.00021781492978334427,-0.00045413151383399963
61,3,12402,-0.0018770124297589064,-0.0026081716641783714,-0.0007311592344194651
61,3,381,-0.0018089823424816132,-0.0044987015426158905,-0.0026897192001342773
61,3,6434,-0.001721506705507636,-0.0012536393478512764,0.00046786735765635967
61,3,8880,-0.0016898293979465961,0.0016316506080329418,0.003321480005979538
61,3,3761,-0.0013608187437057495,-0.005919724702835083,-0.0045589059591293335
61,3,12913,-0.00103851780295372,-0.0015218406915664673,-0.0004833228886127472
61,3,10899,-0.0009496835991740227,-0.0015993397682905197,-0.000649656169116497
61,3,9917,-0.0009331195615231991,-0.0011119432747364044,-0.00017882371321320534
61,3,48,-0.0008483526762574911,-0.0007016230374574661,0.00014672963880002499
61,3,12102,-0.0008457987569272518,0.0005856123752892017,0.0014314111322164536
61,3,14203,-0.0008095353841781616,0.000660342164337635,0.0014698775485157967
61,3,4762,-0.0008061191765591502,-0.00016809615772217512,0.0006380230188369751
61,3,11552,-0.000806053401902318,-0.0009552179835736752,-0.00014916458167135715
61,3,2890,-0.0007683091098442674,-0.0008641951717436314,-9.5886061899364e-05
61,3,8460,-0.0007597664371132851,-0.0001720888540148735,0.0005876775830984116
61,3,10410,-0.0007388717494904995,-0.0016972227022051811,-0.0009583509527146816
61,3,623,-0.0007368624210357666,0.0009561190381646156,0.0016929814592003822
61,3,7146,-0.0007288390770554543,-0.0012467466294765472,-0.000517907552421093
61,3,2189,-0.0007255480159074068,-0.001134930644184351,-0.00040938262827694416
61,3,9490,-0.0007068878039717674,-0.0018252097070217133,-0.0011183219030499458
61,4,10307,0.00214115297421813,0.0016059447079896927,-0.0005352082662284374
61,4,11874,0.002052169293165207,-0.0017888378351926804,-0.0038410071283578873
61,4,8381,0.001609213650226593,-0.015862248837947845,-0.01747146248817444
61,4,6825,0.0014573719818145037,0.0016434816643595695,0.00018610968254506588
61,4,155,0.0013774316757917404,-0.001054292544722557,-0.0024317242205142975
61,4,6256,0.0012450674548745155,0.001974622718989849,0.0007295552641153336
61,4,2387,0.0012156260199844837,0.0013080798089504242,9.245378896594048e-05
61,4,7818,0.0011575166136026382,-0.0011750813573598862,-0.0023325979709625244
61,4,6747,0.0011103037977591157,0.0010902099311351776,-2.0093866623938084e-05
61,4,2127,0.0010977750644087791,0.0019636955112218857,0.0008659204468131065
61,4,10399,0.0010950653813779354,0.000922265462577343,-0.00017279991880059242
61,4,1731,0.0010734980460256338,0.0014484813436865807,0.00037498329766094685
61,4,8849,0.0010161742102354765,0.0007934560999274254,-0.0002227181103080511
61,4,13888,0.0010122321546077728,0.0004751973319798708,-0.000537034822627902
61,4,1412,0.0010047107934951782,0.0007589347660541534,-0.0002457760274410248
61,4,3045,0.000966134131886065,0.0013765748590230942,0.00041044072713702917
61,4,2621,0.0009213178418576717,-0.0003589550033211708,-0.0012802728451788425
61,4,6031,0.0009060086449608207,0.0006782454438507557,-0.00022776320111006498
61,4,6403,0.0009044590406119823,0.0006686476990580559,-0.00023581134155392647
61,4,1830,0.0008741470519453287,-4.1862716898322105e-05,-0.0009160097688436508
61,4,2421,-0.0018526781350374222,0.0011519752442836761,0.0030046533793210983
61,4,1951,-0.0015993397682905197,-0.0006805057637393475,0.0009188340045511723
61,4,3197,-0.0012717850040644407,0.0004020996857434511,0.0016738846898078918
61,4,6844,-0.0011547040194272995,-0.00307457335293293,-0.0019198693335056305
61,4,13412,-0.001120021566748619,-0.0016972105950117111,-0.000577189028263092
61,4,7310,-0.0010846015065908432,0.0006016530096530914,0.0016862545162439346
61,4,10311,-0.0010760028380900621,-0.0009584720246493816,0.00011753087164834142
61,4,6561,-0.0010728081688284874,-0.0003859112039208412,0.0006868969649076462
61,4,11812,-0.0010093050077557564,-0.0014119409024715424,-0.000402635894715786
61,4,12852,-0.0009653158485889435,-0.001458270475268364,-0.0004929546266794205
61,4,13834,-0.0009338543750345707,-0.00031302543357014656,0.0006208289414644241
61,4,7123,-0.0009095468558371067,-0.0010904911905527115,-0.00018094433471560478
61,4,11961,-0.00090852624271065,-0.0009828824549913406,-7.435621228069067e-05
61,4,14070,-0.0008864161791279912,-3.549328539520502e-05,0.0008509228937327862
61,4,14150,-0.0008807191625237465,0.0006990516558289528,0.0015797708183526993
61,4,5980,-0.0008752215071581304,-0.0008900626562535763,-1.4841134543530643e-05
61,4,4070,-0.0008678259328007698,-0.00123697891831398,-0.0003691529855132103
61,4,9379,-0.000859277555719018,-0.0009083678014576435,-4.909027484245598e-05
61,4,8505,-0.0008552540093660355,0.00048413127660751343,0.0013393852859735489
61,4,7553,-0.0008511841297149658,-0.0014467611908912659,-0.0005955770611763
61,5,12100,0.0020181480795145035,-0.0036570336669683456,-0.005675181746482849
61,5,10256,0.0018354132771492004,-0.0023888181895017624,-0.004224231466650963
61,5,3102,0.0016676674131304026,-0.0005379978101700544,-0.002205665223300457
61,5,11419,0.0015769564779475331,0.0015848316252231598,7.875114533817396e-06
61,5,3171,0.0014239666052162647,-0.0008760555647313595,-0.002300022169947624
61,5,9581,0.0013927537947893143,0.004483446478843689,0.0030906926840543747
61,5,6039,0.0012068874202668667,0.0017712824046611786,0.0005643949843943119
61,5,643,0.0012029465287923813,0.0016820766031742096,0.0004791300743818283
61,5,12513,0.0011767290998250246,0.0007934370078146458,-0.00038329209201037884
61,5,1368,0.0011373416054993868,0.001435442827641964,0.00029810122214257717
61,5,14042,0.0011034938506782055,0.002170337364077568,0.0010668435133993626
61,5,13948,0.0010635965736582875,0.00024754286278039217,-0.0008160537108778954
61,5,9302,0.0010502934455871582,-0.001206040382385254,-0.002256333827972412
61,5,8121,0.001049653859809041,0.0006204873789101839,-0.0004291664808988571
61,5,5017,0.0010399827733635902,0.0027957353740930557,0.0017557526007294655
61,5,12185,0.0010291580110788345,-0.0009324122220277786,-0.001961570233106613
61,5,4707,0.0010276436805725098,0.0004778848960995674,-0.0005497587844729424
61,5,7352,0.0010126493871212006,-4.547509888652712e-05,-0.0010581244714558125
61,5,6056,0.0010080402716994286,0.0006342013366520405,-0.0003738389350473881
61,5,4044,0.0010076449252665043,0.0012679854407906532,0.00026034051552414894
61,5,720,-0.0032124072313308716,-0.012658216059207916,-0.009445808827877045
61,5,13840,-0.0018039532005786896,0.0006936769932508469,0.0024976301938295364
61,5,3281,-0.001718331128358841,0.0006240997463464737,0.0023424308747053146
61,5,7105,-0.001497040968388319,-0.002684071660041809,-0.00118703069165349
61,5,9997,-0.0013823509216308594,-0.004655361175537109,-0.00327301025390625
61,5,2506,-0.001361908158287406,-0.0012743491679430008,8.755904855206609e-05
