pair_idx,pair_indicator,malicious_filename,n_indicator_tokens,base_logit_diff,ablated_logit_diff,logit_diff_delta,resid_l2_sensitivity,resid_cosine_similarity
115,DownloadFile,4030.ps1,8,10.96875,7.78125,-3.1875,3.669921875,0.8603515625
116,DownloadFile,fa2y/malicious_samples/55268a1ea0d5427ddce703995757ea4f5c5d1e84ffb93d1e46c5dd4f2334c9bd.ps1,8,11.75,1.515625,-10.234375,3.810546875,0.845703125
117,DownloadFile,fa2y/malicious_samples/7741d84041c2904a988bf4492beee28bc0556215e02df8476afdc853ee102e14.ps1,8,11.765625,5.734375,-6.03125,4.03125,0.8310546875
118,DownloadFile,fa2y/malicious_samples/bccd308c1363e2e108f38e9cd763bbe80cb5464d1c094981de1b335b747d0f5e.ps1,8,11.6875,4.6953125,-6.9921875,3.642578125,0.86376953125
119,DownloadFile,fa2y/malicious_samples/ccd8419ee447ee7c2f52cb27a351dcb77daae51361cc1edae2e5768da436c05f.ps1,8,13.203125,7.0859375,-6.1171875,3.35546875,0.884765625
120,DownloadFile,fa2y/malicious_samples/13f495346db4ece9ce57f18bd0b098cf4bd1e5c595b533dce58fd830a8ade993.ps1,5,11.265625,8.5390625,-2.7265625,1.771484375,0.9677734375
121,DownloadFile,fa2y/malicious_samples/8ad2a36c4d15536d982ccbc8dccaae3189f794b301bb9f971b6a96804543a18d.ps1,8,12.921875,2.9296875,-9.9921875,4.81640625,0.74462890625
122,DownloadFile,fa2y/malicious_samples/8c231e5bf8fd87348cce554a738fca8e3de0c59f10488fb3d8a4a30b87e9e0ae.ps1,8,10.71875,2.9609375,-7.7578125,3.59765625,0.8623046875
123,DownloadFile,fa2y/malicious_samples/d2623a0d89ae73e8249fa968427429cef4419adc8d75246df17f743df8fa0305.ps1,8,12.96875,3.3125,-9.65625,3.001953125,0.90771484375
124,DownloadFile,fa2y/malicious_samples/2da43801a01108fac2061352323930e8ac9a133a7ed51519529c29a637371ad6.ps1,8,11.453125,1.328125,-10.125,3.671875,0.86279296875
125,DownloadFile,fa2y/malicious_samples/c528a1f560026cdce272cfe1931aa7cb6ea99f55f3597c758d815fd71c600e8d.ps1,8,11.4453125,2.421875,-9.0234375,3.853515625,0.84716796875
126,DownloadFile,fa2y/malicious_samples/c5932f74e85aed639c47fdec7aa98242ef66d187bc2e6faf070fb2fda0a116b0.ps1,8,12.8515625,3.0078125,-9.84375,3.091796875,0.90234375
127,DownloadFile,fa2y/malicious_samples/80c7a53cb5caef2b7119fa32b9553aa84f3b86e11695ec4e42192ba8d5603d56.ps1,8,13.03125,3.4921875,-9.5390625,2.96875,0.91015625
128,DownloadFile,fa2y/malicious_samples/4387e1a9aec419849f23201ecc4d4931e7cae61b876531f3af02828e4e2f42ba.ps1,8,12.4609375,6.109375,-6.3515625,3.19921875,0.89404296875
129,DownloadFile,fa2y/malicious_samples/ca78784d2aa3645fc240c636c836930fbfd06a82603db26100065cf12d669353.ps1,8,12.96875,2.671875,-10.296875,3.111328125,0.90087890625
130,DownloadFile,fa2y/bazaar_out/dac999815c194b81972a17489349a7ca344172255653211364ade7b79df69436.ps1,5,11.0234375,7.421875,-3.6015625,1.755859375,0.96923828125
131,DownloadFile,fa2y/malicious_samples/f2f4cc717edaea588fcab6c821532311a5e0f5547ee18a268dd52be4adea418e.ps1,8,11.140625,7.71875,-3.421875,3.767578125,0.8544921875
132,DownloadFile,fa2y/malicious_samples/f103a6d3abb48a0536cc1cc84a95d30bca2d95518ad6534aa62d81ea9e738cac.ps1,8,12.5234375,4.9296875,-7.59375,2.572265625,0.93408203125
133,DownloadFile,fa2y/malicious_samples/3c87f33d5e61df0c265144748a15a73effc951d62def214a617d304d9f4d6d2d.ps1,8,13.09375,3.4140625,-9.6796875,3.29296875,0.8896484375
134,DownloadFile,fa2y/malicious_samples/9311da1ab1efba77e8a9cdc4c5377208cd3ea856aa70792a25d0a6aad65135a2.ps1,8,10.6875,4.265625,-6.421875,3.46484375,0.87451171875
135,DownloadFile,fa2y/malicious_samples/fed72bcf1a223ed5754756817a4ca5a21de504e9c05cba4373a98716a7f823b2.ps1,8,9.421875,4.828125,-4.59375,4.1875,0.81640625
