ablation_label,base_logit_diff,ablated_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
h0.11+h12.28+h12.5+h12.4+h12.13,2.7421875,1.1328125,-1.609375,-58.68945868945868,60,IEX,1634.ps1,784.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,8.359375,2.546875,-5.8125,-69.53271028037383,81,Invoke-WebRequest,3784.ps1,3834.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,8.359375,2.546875,-5.8125,-69.53271028037383,82,Invoke-WebRequest,4058.ps1,3834.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,8.359375,2.546875,-5.8125,-69.53271028037383,83,Invoke-WebRequest,3104.ps1,3834.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,8.359375,2.546875,-5.8125,-69.53271028037383,84,Invoke-WebRequest,896.ps1,3834.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,3.234375,0.5625,-2.671875,-82.6086956521739,86,Invoke-WebRequest,3784.ps1,1362.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,3.234375,0.5625,-2.671875,-82.6086956521739,87,Invoke-WebRequest,4058.ps1,1362.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,3.234375,0.5625,-2.671875,-82.6086956521739,88,Invoke-WebRequest,3104.ps1,1362.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,3.234375,0.5625,-2.671875,-82.6086956521739,89,Invoke-WebRequest,896.ps1,1362.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,8.359375,2.546875,-5.8125,-69.53271028037383,91,Invoke-WebRequest,773.ps1,3834.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,8.359375,2.546875,-5.8125,-69.53271028037383,92,Invoke-WebRequest,2820.ps1,3834.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,3.234375,0.5625,-2.671875,-82.6086956521739,93,Invoke-WebRequest,773.ps1,1362.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,3.234375,0.5625,-2.671875,-82.6086956521739,94,Invoke-WebRequest,2820.ps1,1362.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,8.359375,2.546875,-5.8125,-69.53271028037383,95,Invoke-WebRequest,2969.ps1,3834.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,8.359375,2.546875,-5.8125,-69.53271028037383,96,Invoke-WebRequest,712.ps1,3834.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,8.359375,2.546875,-5.8125,-69.53271028037383,97,Invoke-WebRequest,2165.ps1,3834.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,3.234375,0.5625,-2.671875,-82.6086956521739,98,Invoke-WebRequest,2969.ps1,1362.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,3.234375,0.5625,-2.671875,-82.6086956521739,99,Invoke-WebRequest,712.ps1,1362.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,3.234375,0.5625,-2.671875,-82.6086956521739,100,Invoke-WebRequest,2165.ps1,1362.ps1,False
