layer,component,base_logit_diff,ablated_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
4,attn,11.0,6.4140625,-4.5859375,-41.690340909090914,2,DownloadFile,2670.ps1,137.ps1,False
2,mlp,11.0,6.46875,-4.53125,-41.19318181818182,2,DownloadFile,2670.ps1,137.ps1,False
17,attn,11.0,6.515625,-4.484375,-40.76704545454545,2,DownloadFile,2670.ps1,137.ps1,False
13,mlp,11.0,7.1015625,-3.8984375,-35.440340909090914,2,DownloadFile,2670.ps1,137.ps1,False
3,attn,11.0,7.5859375,-3.4140625,-31.036931818181817,2,DownloadFile,2670.ps1,137.ps1,False
16,attn,11.0,7.8984375,-3.1015625,-28.19602272727273,2,DownloadFile,2670.ps1,137.ps1,False
31,attn,11.0,7.9453125,-3.0546875,-27.769886363636363,2,DownloadFile,2670.ps1,137.ps1,False
15,mlp,11.0,8.015625,-2.984375,-27.130681818181817,2,DownloadFile,2670.ps1,137.ps1,False
29,mlp,11.0,8.828125,-2.171875,-19.744318181818183,2,DownloadFile,2670.ps1,137.ps1,False
24,attn,11.0,8.921875,-2.078125,-18.892045454545457,2,DownloadFile,2670.ps1,137.ps1,False
24,mlp,11.0,8.9375,-2.0625,-18.75,2,DownloadFile,2670.ps1,137.ps1,False
1,attn,11.0,8.9609375,-2.0390625,-18.536931818181817,2,DownloadFile,2670.ps1,137.ps1,False
30,mlp,11.0,9.734375,-1.265625,-11.505681818181818,2,DownloadFile,2670.ps1,137.ps1,False
27,attn,11.0,9.859375,-1.140625,-10.369318181818182,2,DownloadFile,2670.ps1,137.ps1,False
18,attn,11.0,10.0,-1.0,-9.090909090909092,2,DownloadFile,2670.ps1,137.ps1,False
19,mlp,11.0,10.09375,-0.90625,-8.238636363636363,2,DownloadFile,2670.ps1,137.ps1,False
17,mlp,11.0,10.109375,-0.890625,-8.096590909090908,2,DownloadFile,2670.ps1,137.ps1,False
20,mlp,11.0,10.140625,-0.859375,-7.8125,2,DownloadFile,2670.ps1,137.ps1,False
21,attn,11.0,10.2109375,-0.7890625,-7.173295454545454,2,DownloadFile,2670.ps1,137.ps1,False
2,attn,11.0,10.3125,-0.6875,-6.25,2,DownloadFile,2670.ps1,137.ps1,False
14,mlp,11.0,10.6015625,-0.3984375,-3.6221590909090913,2,DownloadFile,2670.ps1,137.ps1,False
30,attn,11.0,10.640625,-0.359375,-3.2670454545454546,2,DownloadFile,2670.ps1,137.ps1,False
21,mlp,11.0,10.7421875,-0.2578125,-2.34375,2,DownloadFile,2670.ps1,137.ps1,False
23,attn,11.0,10.921875,-0.078125,-0.7102272727272727,2,DownloadFile,2670.ps1,137.ps1,False
23,mlp,11.0,10.9609375,-0.0390625,-0.35511363636363635,2,DownloadFile,2670.ps1,137.ps1,False
26,mlp,11.0,10.9921875,-0.0078125,-0.07102272727272728,2,DownloadFile,2670.ps1,137.ps1,False
25,mlp,11.0,11.2734375,0.2734375,2.4857954545454546,2,DownloadFile,2670.ps1,137.ps1,False
28,attn,11.0,11.359375,0.359375,3.2670454545454546,2,DownloadFile,2670.ps1,137.ps1,False
22,attn,11.0,11.390625,0.390625,3.5511363636363638,2,DownloadFile,2670.ps1,137.ps1,False
22,mlp,11.0,11.421875,0.421875,3.835227272727273,2,DownloadFile,2670.ps1,137.ps1,False
29,attn,11.0,11.4296875,0.4296875,3.90625,2,DownloadFile,2670.ps1,137.ps1,False
27,mlp,11.0,11.4453125,0.4453125,4.048295454545454,2,DownloadFile,2670.ps1,137.ps1,False
26,attn,11.0,11.5703125,0.5703125,5.184659090909091,2,DownloadFile,2670.ps1,137.ps1,False
19,attn,11.0,12.0078125,1.0078125,9.161931818181818,2,DownloadFile,2670.ps1,137.ps1,False
28,mlp,11.0,12.171875,1.171875,10.653409090909092,2,DownloadFile,2670.ps1,137.ps1,False
25,attn,11.0,12.34375,1.34375,12.215909090909092,2,DownloadFile,2670.ps1,137.ps1,False
20,attn,11.0,12.5078125,1.5078125,13.707386363636365,2,DownloadFile,2670.ps1,137.ps1,False
31,mlp,11.0,12.7578125,1.7578125,15.980113636363635,2,DownloadFile,2670.ps1,137.ps1,False
18,mlp,11.0,13.171875,2.171875,19.744318181818183,2,DownloadFile,2670.ps1,137.ps1,False
8,mlp,3.2890625,-0.328125,-3.6171875,-109.97624703087887,3,DownloadString,1113.ps1,450.ps1,True
0,attn,3.2890625,-0.15625,-3.4453125,-104.75059382422802,3,DownloadString,1113.ps1,450.ps1,True
9,mlp,3.2890625,0.7109375,-2.578125,-78.38479809976246,3,DownloadString,1113.ps1,450.ps1,False
7,mlp,3.2890625,0.75,-2.5390625,-77.19714964370546,3,DownloadString,1113.ps1,450.ps1,False
0,mlp,3.2890625,1.0615234375,-2.2275390625,-67.72565320665083,3,DownloadString,1113.ps1,450.ps1,False
5,mlp,3.2890625,1.109375,-2.1796875,-66.270783847981,3,DownloadString,1113.ps1,450.ps1,False
6,mlp,3.2890625,1.1484375,-2.140625,-65.08313539192399,3,DownloadString,1113.ps1,450.ps1,False
4,mlp,3.2890625,1.296875,-1.9921875,-60.57007125890736,3,DownloadString,1113.ps1,450.ps1,False
11,attn,3.2890625,1.40625,-1.8828125,-57.24465558194775,3,DownloadString,1113.ps1,450.ps1,False
7,attn,3.2890625,1.515625,-1.7734375,-53.919239904988125,3,DownloadString,1113.ps1,450.ps1,False
6,attn,3.2890625,1.59375,-1.6953125,-51.543942992874115,3,DownloadString,1113.ps1,450.ps1,False
3,mlp,3.2890625,1.609375,-1.6796875,-51.06888361045131,3,DownloadString,1113.ps1,450.ps1,False
4,attn,3.2890625,1.6640625,-1.625,-49.4061757719715,3,DownloadString,1113.ps1,450.ps1,False
24,attn,3.2890625,1.71875,-1.5703125,-47.74346793349169,3,DownloadString,1113.ps1,450.ps1,False
12,attn,3.2890625,1.7421875,-1.546875,-47.03087885985748,3,DownloadString,1113.ps1,450.ps1,False
2,mlp,3.2890625,1.8046875,-1.484375,-45.13064133016627,3,DownloadString,1113.ps1,450.ps1,False
16,mlp,3.2890625,1.890625,-1.3984375,-42.517814726840854,3,DownloadString,1113.ps1,450.ps1,False
12,mlp,3.2890625,1.9140625,-1.375,-41.80522565320665,3,DownloadString,1113.ps1,450.ps1,False
24,mlp,3.2890625,2.09375,-1.1953125,-36.342042755344416,3,DownloadString,1113.ps1,450.ps1,False
13,attn,3.2890625,2.1015625,-1.1875,-36.104513064133016,3,DownloadString,1113.ps1,450.ps1,False
