layer,head,base_logit_diff,patched_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,base_benign_logit_diff,flip_to_benign
12,5,6.9609375,5.640625,-1.3203125,-18.967452300785634,30,DownloadString,1113.ps1,3062.ps1,-4.4375,False
0,11,6.9609375,6.5546875,-0.40625,-5.836139169472503,30,DownloadString,1113.ps1,3062.ps1,-4.4375,False
12,4,7.640625,0.953125,-6.6875,-87.52556237218813,31,DownloadString,1113.ps1,338.ps1,-4.4375,False
12,5,7.640625,5.8203125,-1.8203125,-23.824130879345603,31,DownloadString,1113.ps1,338.ps1,-4.4375,False
12,28,7.640625,6.2421875,-1.3984375,-18.302658486707564,31,DownloadString,1113.ps1,338.ps1,-4.4375,False
0,11,7.640625,7.4375,-0.203125,-2.658486707566462,31,DownloadString,1113.ps1,338.ps1,-4.4375,False
12,4,3.2890625,-0.03125,-3.3203125,-100.95011876484561,32,DownloadString,1113.ps1,450.ps1,-4.4375,True
12,28,3.2890625,2.0078125,-1.28125,-38.95486935866984,32,DownloadString,1113.ps1,450.ps1,-4.4375,False
12,5,3.2890625,2.5234375,-0.765625,-23.27790973871734,32,DownloadString,1113.ps1,450.ps1,-4.4375,False
0,11,3.2890625,3.671875,0.3828125,11.63895486935867,32,DownloadString,1113.ps1,450.ps1,-4.4375,False
12,4,1.2734375,-0.1875,-1.4609375,-114.7239263803681,33,FromBase64String,1670.ps1,3780.ps1,-5.859375,True
12,28,1.2734375,0.921875,-0.3515625,-27.607361963190186,33,FromBase64String,1670.ps1,3780.ps1,-5.859375,False
0,11,1.2734375,1.15625,-0.1171875,-9.202453987730062,33,FromBase64String,1670.ps1,3780.ps1,-5.859375,False
12,5,1.2734375,1.4609375,0.1875,14.723926380368098,33,FromBase64String,1670.ps1,3780.ps1,-5.859375,False
12,28,1.5078125,0.78125,-0.7265625,-48.18652849740933,34,FromBase64String,1238.ps1,3537.ps1,-0.921875,False
12,4,1.5078125,1.1171875,-0.390625,-25.906735751295333,34,FromBase64String,1238.ps1,3537.ps1,-0.921875,False
0,11,1.5078125,1.21875,-0.2890625,-19.170984455958546,34,FromBase64String,1238.ps1,3537.ps1,-0.921875,False
12,5,1.5078125,1.3984375,-0.109375,-7.253886010362693,34,FromBase64String,1238.ps1,3537.ps1,-0.921875,False
